	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6751	7068	288	敬之	288.1	10	學有緝熙于光b明	學 + 有 + 緝 + 熙 + 于 + 光 + 明	學 + 有 + 緝 + 熙 + 于 + 光 + 明	288.1.b	明	0 0 0 0 0 0 1651	a
6753	7070	288	敬之	288.1	12	示我顯德b行	示 + 我 + 顯 + 德 + 行	示 + 我 + 顯 + 德 + 行	288.1.b	行	0 0 0 0 1651	a
6754	7071	289	小毖	289.1	1	予其懲	予 + 其 + 懲	予 + 其 + 懲		懲	0 0 0	ə
6756	7073	289	小毖	289.1	3	莫予荓蜂	莫 + 予 + 荓 + 蜂	莫 + 予 + 荓 + 蜂		蜂	0 0 0 0	o
6758	7075	289	小毖	289.1	5	肇允彼桃蟲	肇 + 允 + 彼 + 桃 + 蟲	肇 + 允 + 彼 + 桃 + 蟲		蟲	0 0 0 0 0	u
6786	7105	290	載芟	290.1	27	有飶其h香	有 + 飶 + 其 + 香	有 + 飶 + 其 + 香	290.1.h	香	0 0 0 1660	a
6787	7106	290	載芟	290.1	28	邦家之h光	邦 + 家 + 之 + 光	邦 + 家 + 之 + 光	290.1.h	光	0 0 0 1660	a
6788	7107	290	載芟	290.1	29	有椒其i馨	有 + 椒 + 其 + 馨	有 + 椒 + 其 + 馨	290.1.i	馨	0 0 0 1661	e
6789	7108	290	載芟	290.1	30	胡考之i寧	胡 + 考 + 之 + 寧	胡 + 考 + 之 + 寧	290.1.i	寧	0 0 0 1661	e
6810	7131	291	良耜	291.1	20	百室f盈止	百 + 室 + 盈 + 止	百 + 室 + 盈 + 止	291.1.f	盈	0 0 1667 0	e
6811	7132	291	良耜	291.1	21	婦子f寧止	婦 + 子 + 寧 + 止	婦 + 子 + 寧 + 止	291.1.f	寧	0 0 1667 0	e
6815	7136	291	良耜	291.1	25	續古之人	續 + 古 + 之 + 人	續 + 古 + 之 + 人		人	0 0 0 0	i
6833	7155	294	桓	294.1	1	綏萬邦	綏 + 萬 + 邦	綏 + 萬 + 邦		邦	0 0 0	o
6834	7156	294	桓	294.1	2	婁豐年	婁 + 豐 + 年	婁 + 豐 + 年		年	0 0 0	i
6836	7158	294	桓	294.1	4	桓桓武a王	桓 + 桓 + 武 + 王	桓 + 桓 + 武 + 王	294.1.a	王	0 0 0 1671	a
6838	7160	294	桓	294.1	6	于以四a方	于 + 以 + 四 + 方	于 + 以 + 四 + 方	294.1.a	方	0 0 0 1671	a
6845	7167	295	賚	295.1	4	我徂維求b定	我 + 徂 + 維 + 求 + 定	我 + 徂 + 維 + 求 + 定	295.1.b	定	0 0 0 0 1674	e
6846	7168	295	賚	295.1	5	時周之b命	時 + 周 + 之 + 命	時 + 周 + 之 + 命	295.1.b	命	0 0 0 1674	i
6854	7176	296	般	296.1	7	時周之命	時 + 周 + 之 + 命	時 + 周 + 之 + 命		命	0 0 0 0	i
6858	7180	297	駉	297.1	4	有驈有b皇	有 + 驈 + 有 + 皇	有 + 驈 + 有 + 皇	297.1.b	皇	0 0 0 1676	a
6859	7181	297	駉	297.1	5	有驪有b黃	有 + 驪 + 有 + 黃	有 + 驪 + 有 + 黃	297.1.b	黃	0 0 0 1676	a
6860	7182	297	駉	297.1	6	以車b彭b彭	以 + 車 + 彭 + 彭	以 + 車 + 彭 + 彭	297.1.b	彭	0 0 1676 1676	a
6861	7184	297	駉	297.1	8	思無b疆	思 + 無 + 疆	思 + 無 + 疆	297.1.b	疆	0 0 1676	a
